ID_REF	VALUE
16650391	6.85134
16650393	5.97727
16650395	7.09848
16650397	6.28376
16650399	6.04199
16650401	4.92539
16650403	6.02955
16650405	6.87024
16650407	4.97784
16650409	5.09508
16650411	4.91673
16650413	6.42624
16650415	6.6435
16650417	6.59033
16650419	6.11139
16650421	6.24713
16650423	3.79911
16650425	5.38206
16650427	5.538
16650429	5.08111
16650431	6.6955
16650433	3.07259
16650435	3.21845
16650437	5.0699
16650439	4.30959
16650441	3.54243
16650443	5.73104
16650445	4.81251
16650447	3.93801
16650449	5.20511
16650451	5.63212
16650453	6.6676
16650455	5.44659
16650457	5.15858
16650459	6.75406
16650461	5.55112
16650463	5.72335
16650465	7.50367
16650467	2.54351
16650469	3.33203
16650471	4.81997
16650473	5.49782
16650475	6.49752
16650479	7.4515
16650481	6.32665
16650483	3.40679
16650485	3.88545
16650489	0.818725
16650491	1.06739
16650493	1.5453
16650495	2.6368
16650497	2.68468
16650499	1.63923
16650501	2.55973
16650503	1.27106
16650505	4.833
16650507	1.94878
16650509	1.35218
16650511	2.12874
16650513	2.62391
16650515	2.54915
16650517	2.37956
16650519	0.985583
16650521	2.6353
16650523	5.69627
16650525	1.19545
16650527	2.04313
16650529	5.7073
16650531	2.04313
16650533	3.57431
16650535	5.29002
16650537	5.04723
16650539	5.79706
16650541	6.33697
16650543	6.21192
16650545	5.7349
16650547	3.55248
16650549	5.98552
16650551	3.78432
16650553	6.41574
16650555	2.89534
16650557	3.49861
16650559	5.67934
16650561	4.59564
16650563	4.29149
16650567	3.09681
16650569	3.9118
16650571	6.13843
16650573	3.73492
16650575	4.21659
16650577	2.99958
16650581	2.09641
16650583	5.00461
16650585	4.0321
16650587	4.92539
16650589	3.63377
16650591	5.0691
16650593	1.3118
16650597	3.14495
16650599	2.90608
16650601	8.34592
16650603	7.02112
16650605	5.38413
16650607	2.51276
16650609	4.20649
16650611	2.99004
16650613	1.74123
16650615	6.04325
16650617	6.02653
16650619	4.00737
16650621	4.7535
16650623	4.66292
16650625	5.37246
16650627	5.42945
16650629	3.73184
16650631	1.75377
16650633	5.2087
16650635	4.87628
16650637	4.21459
16650639	4.27404
16650641	5.75957
16650643	1.96118
16650645	5.78824
16650647	5.8895
16650649	3.13215
16650651	5.44699
16650653	4.65765
16650655	4.48449
16650657	4.16136
16650659	4.84625
16650661	4.00351
16650663	4.09813
16650665	1.29148
16650667	1.58493
16650669	2.52394
16650671	3.61353
16650673	4.58887
16650675	2.73933
16650677	3.62962
16650679	3.37096
16650681	2.53211
16650683	1.19083
16650685	2.20801
16650687	4.47251
16650689	1.71939
16650691	5.42513
16650693	3.68966
16650695	2.18624
16650699	3.10451
16650701	3.48717
16650703	6.96592
16650705	3.77863
16650707	3.88483
16650709	2.49267
16650711	3.99122
16650713	1.32263
16650715	3.63395
16650717	2.04313
16650719	2.57673
16650721	4.23497
16650723	1.82546
16650725	2.02917
16650727	2.04584
16650729	5.86673
16650731	5.48602
16650733	4.16439
16650735	7.54892
16650737	6.96059
16650739	1.36392
16650743	7.03391
16650745	2.76154
16650747	4.98922
16650749	4.25857
16650751	6.93351
16650753	1.17976
16650755	1.19696
16650757	1.7117
16650759	5.71049
16650761	5.44173
16650763	3.43565
16650765	6.61369
16650767	4.31673
16650769	3.86882
16650771	3.02811
16650773	4.95572
16650775	3.80283
